source,status,item
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","12.518716100517 -69.979241678017 ABW- (Aruba aggregation) Aruba  (feature #0)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.171948254588 63.75017460548 Badghis  (feature #1, WOEID: 2344550)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.203140803499 62.199567060511 Hirat  (feature #2, WOEID: 2344558)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.779113163894 67.222621388953 Bamyan  (feature #3, WOEID: 2344552)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","36.669857291965 67.066959132819 Balkh  (feature #4, WOEID: 2344575)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","36.069618439741 64.908552234471 Faryab  (feature #5, WOEID: 2344554)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","36.744236017689 65.811763763457 Jawzjan  (feature #6, WOEID: 2344576)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.183302731041 64.886253596801 Ghor  (feature #7, WOEID: 2344556)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.737354580322 66.166109974408 Sari Pul  (feature #8, WOEID: 2344578)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","32.628083756842 62.338615416425 Farah Afghanistan  (feature #9)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","31.156043510269 64.048328678465 Hilmand  (feature #10, WOEID: 2344557)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","30.839788245396 62.339519986684 Nimroz  (feature #11, WOEID: 2344565)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","32.830063830427 66.049041770079 Uruzgan  (feature #12, WOEID: 2344566)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","33.736518589758 66.188490815703 Uruzgan  (feature #13, WOEID: 2344566)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","31.098079110535 65.803307948209 Kandahar Afghanistan  (feature #14, WOEID: 2344569)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","32.225975097526 67.135661472461 Zabul Afghanistan  (feature #15, WOEID: 2344573)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","33.283346814924 67.79316625503 Ghazni  (feature #16, WOEID: 2344555)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","33.362356438676 69.827134432932 Khost Afghanistan  (feature #17)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","32.485733800314 68.709995148729 Paktika  (feature #18, WOEID: 2344574)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","37.034643716386 71.559685898805 Badakhshan  (feature #19, WOEID: 2344549)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.431600177874 70.776246306214 Nuristan  (feature #20, WOEID: 24549937)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","34.982668349985 71.086184583691 Kunar Afghanistan Konarha Kunarha  (feature #21)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","36.834557011255 68.747405215805 Kunduz Afghanistan Kondoz Qonduz Qunduz  (feature #22)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.298093235225 70.414393330262 Nangarhar  (feature #23, WOEID: 2344564)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","36.672874994298 69.79078093682 Takhar  (feature #24, WOEID: 2344571)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","35.812431668164 68.882375139551 Baghlan Afghanistan Baglan Bughlan  (feature #25)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","34.561004759577 69.371054076964 Kabul Afghanistan Cabul Kabol Kaboul  (feature #26)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.951902294119 69.597016475299 Kapisa  (feature #27, WOEID: 2344560)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.450396911542 69.781747644527 Parwan  (feature #28, WOEID: 2344568)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","34.803634008317 70.150684987551 Laghman Afghanistan Lagman  (feature #29)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.025599435345 69.209828259475 Logar  (feature #30, WOEID: 2344563)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.931961332225 68.942711438772 Parwan  (feature #31, WOEID: 2344568)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","35.970186767175 67.683104698826 Samangan  (feature #32, WOEID: 2344577)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","34.311675915114 68.203574029742 Wardak  (feature #33, WOEID: 2344572)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","33.614747214073 69.388311115175 Paktya  (feature #34, WOEID: 2344567)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-8.5754096802465 19.51899945623 Lunda Norte  (feature #35, WOEID: 2344671)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-10.191082599612 20.650082717136 Lunda Sul  (feature #36, WOEID: 2344672)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-9.5337397477123 16.986232315136 Malanje  (feature #37, WOEID: 1262220)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-8.9894507657144 13.910962750332 Bengo  (feature #38, WOEID: 2344673)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-8.8821801144377 14.940989072097 Cuanza Norte  (feature #39, WOEID: 2344660)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-10.822008834281 15.004071517979 Cuanza Sul  (feature #40, WOEID: 2344661)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-8.9507874588318 13.330964696617 Luanda  (feature #41, WOEID: 1261906)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-7.0680100074905 15.467888159977 Uíge  (feature #42, WOEID: 1265240)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-6.6181784231067 13.574113183395 Zaire Angola  (feature #43, WOEID: 2344670)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-5.0240332828256 12.46795244727 Cabinda  (feature #44, WOEID: 1258561)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-12.232598695852 17.373134370061 Bié  (feature #45, WOEID: 1261704)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-12.943746044639 13.980380157947 Benguela  (feature #46, WOEID: 1258365)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-16.08624524956 19.483102319322 Cuando Cubango  (feature #47, WOEID: 2344659)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-16.494003337324 15.558625694499 Cunene  (feature #48, WOEID: 2344662)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-12.568503829317 15.739590697358 Huambo  (feature #49, WOEID: 1261531)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-14.741150901718 14.937900417339 Huíla  (feature #50, WOEID: 2344664)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-12.85496482825 21.0677326624 Moxico  (feature #51, WOEID: 2344668)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","-15.504843216347 12.732033391309 Namibe  (feature #52, WOEID: 2344667)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","18.242000589589 -63.115444784401 AIA- (Anguilla aggregation) Anguilla  (feature #53)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"No API results matched feature.","18.598378197569 -63.437262745501 AIA- (Anguilla minor island) Anguilla  (feature #54)"
ne_10m_admin_1_states_provinces_lakes_shp.geojson,"Success! Matched feature to API result.","41.447296560488 19.624752209426 Durrës  (feature #55, WOEID: 29389556)"
