source,status,item
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","12.52508183683 -69.987501813317 Aruba  (feature #0, WOEID: 23424736)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","33.883474871584 66.103374003289 Afghanistan  (feature #1, WOEID: 23424739)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-12.206410675163 17.515939000061 Angola  (feature #2, WOEID: 23424745)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","18.224543310203 -63.06135789136 Anguilla United Kingdom  (feature #3, WOEID: 23424751)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","41.140937733311 20.056833512127 Albania  (feature #4, WOEID: 23424742)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","60.189533023931 20.034217808111 Aland  (feature #5, WOEID: 12577865)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","42.53774631806 1.5568041494601 Andorra  (feature #6, WOEID: 23424744)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","23.969346462915 54.279112628017 United Arab Emirates  (feature #7, WOEID: 23424738)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-35.588933096663 -65.198049046982 Argentina  (feature #8, WOEID: 23424747)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","40.268023165082 44.995909499434 Armenia  (feature #9, WOEID: 23424743)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-14.304808761396 -170.70353662707 American Samoa  (feature #10, WOEID: 23424746)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-80.352043650642 16.625885301524 Antarctica  (feature #11, WOEID: 28289409)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","-12.429931640625 123.58383789062 Ashmore and Cartier Islands Australia  (feature #12)"
ne_50m_admin_0_countries.geojson,"No API results matched feature.","-49.238439411854 69.310939349836 French Southern and Antarctic Lands France  (feature #13)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","17.305703437533 -61.784584817195 Antigua and Barbuda  (feature #14, WOEID: 23424737)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-25.825536430138 134.6496506027 Australia  (feature #15, WOEID: 23424748)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","47.600953636108 14.058010402726 Austria  (feature #16, WOEID: 23424750)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","40.231484035833 47.348397052161 Azerbaijan  (feature #17, WOEID: 23424741)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-3.2796999224764 29.880204738619 Burundi  (feature #18, WOEID: 23424774)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","50.61918341616 4.6613911502268 Belgium  (feature #19, WOEID: 23424757)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","9.6425786050151 2.3243467125611 Benin  (feature #20, WOEID: 23424764)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","12.253349684781 -1.755138396698 Burkina Faso  (feature #21, WOEID: 23424978)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","23.810334635207 90.334396867276 Bangladesh  (feature #22, WOEID: 23424759)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","42.763341311868 25.224025151592 Bulgaria  (feature #23, WOEID: 23424771)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","26.04319007715 50.536787493948 Bahrain  (feature #24, WOEID: 23424753)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","24.259280166035 -76.132033636143 The Bahamas  (feature #25, WOEID: 23424758)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","44.164247467559 17.823265365429 Bosnia and Herzegovina  (feature #26, WOEID: 23424761)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","17.902625269446 -62.844534166677 Saint Barthelemy  (feature #27, WOEID: 56042304)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","53.510320912827 28.058510058209 Belarus  (feature #28, WOEID: 23424765)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","17.278511698659 -88.602858880376 Belize  (feature #29, WOEID: 23424760)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","32.316134209296 -64.759520030106 Bermuda  (feature #30, WOEID: 23424756)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-16.71906686631 -64.671875577383 Bolivia  (feature #31, WOEID: 23424762)"
ne_50m_admin_0_countries.geojson,"Success! Matched feature to API result.","-10.78642454893 -53.152409296287 Brazil  (feature #32, WOEID: 23424768)"
